,timestamp,time,name,startTime,endTime,minUsed
93,1557102599714,23,카카오톡,2019-05-06 00:29:59.714,2019-05-06 00:29:59.737,0.00038333333333333334
94,1557102599737,4646,카카오톡,2019-05-06 00:29:59.737,2019-05-06 00:30:04.383,0.07743333333333334
95,1557102604383,17,카카오톡,2019-05-06 00:30:04.383,2019-05-06 00:30:04.400,0.00028333333333333335
96,1557102604400,2904,카카오톡,2019-05-06 00:30:04.400,2019-05-06 00:30:07.304,0.0484
97,1557102607304,18,카카오톡,2019-05-06 00:30:07.304,2019-05-06 00:30:07.322,0.0003
98,1557102607322,6093,카카오톡,2019-05-06 00:30:07.322,2019-05-06 00:30:13.415,0.10155
99,1557102613415,30,카카오톡,2019-05-06 00:30:13.415,2019-05-06 00:30:13.445,0.0005
100,1557102613445,54,카카오톡,2019-05-06 00:30:13.445,2019-05-06 00:30:13.499,0.0009
101,1557102613499,53,카카오톡,2019-05-06 00:30:13.499,2019-05-06 00:30:13.552,0.0008833333333333333
102,1557102613552,8789,카카오톡,2019-05-06 00:30:13.552,2019-05-06 00:30:22.341,0.14648333333333333
103,1557102622341,16,카카오톡,2019-05-06 00:30:22.341,2019-05-06 00:30:22.357,0.0002666666666666667
104,1557102622357,2918,카카오톡,2019-05-06 00:30:22.357,2019-05-06 00:30:25.275,0.048633333333333334
105,1557102625275,34,카카오톡,2019-05-06 00:30:25.275,2019-05-06 00:30:25.309,0.0005666666666666667
106,1557102625309,2660,카카오톡,2019-05-06 00:30:25.309,2019-05-06 00:30:27.969,0.044333333333333336
107,1557102627969,21,카카오톡,2019-05-06 00:30:27.969,2019-05-06 00:30:27.990,0.00035
108,1557102627990,7307,카카오톡,2019-05-06 00:30:27.990,2019-05-06 00:30:35.297,0.12178333333333333
109,1557102635297,20,카카오톡,2019-05-06 00:30:35.297,2019-05-06 00:30:35.317,0.0003333333333333333
110,1557102635317,472,카카오톡,2019-05-06 00:30:35.317,2019-05-06 00:30:35.789,0.007866666666666666
111,1557102635807,1566,Samsung Experience 홈,2019-05-06 00:30:35.807,2019-05-06 00:30:37.373,0.0261
112,1557102637398,27142,YouTube,2019-05-06 00:30:37.398,2019-05-06 00:31:04.540,0.45236666666666664
113,1557102664559,1336,Samsung Experience 홈,2019-05-06 00:31:04.559,2019-05-06 00:31:05.895,0.022266666666666667
114,1557102665927,2550,Facebook,2019-05-06 00:31:05.927,2019-05-06 00:31:08.477,0.0425
115,1557102668477,19,Facebook,2019-05-06 00:31:08.477,2019-05-06 00:31:08.496,0.00031666666666666665
116,1557102668496,2258,Facebook,2019-05-06 00:31:08.496,2019-05-06 00:31:10.754,0.03763333333333333
117,1557102670754,27,Facebook,2019-05-06 00:31:10.754,2019-05-06 00:31:10.781,0.00045
118,1557102670781,15903,Facebook,2019-05-06 00:31:10.781,2019-05-06 00:31:26.684,0.26505
119,1557102686709,24,카카오톡,2019-05-06 00:31:26.709,2019-05-06 00:31:26.733,0.0004
120,1557102686733,15,카카오톡,2019-05-06 00:31:26.733,2019-05-06 00:31:26.748,0.00025
121,1557102686748,3446,카카오톡,2019-05-06 00:31:26.748,2019-05-06 00:31:30.194,0.057433333333333336
122,1557102690194,23,카카오톡,2019-05-06 00:31:30.194,2019-05-06 00:31:30.217,0.00038333333333333334
123,1557102690217,10277,카카오톡,2019-05-06 00:31:30.217,2019-05-06 00:31:40.494,0.17128333333333334
124,1557102700494,19,카카오톡,2019-05-06 00:31:40.494,2019-05-06 00:31:40.513,0.00031666666666666665
125,1557102700513,35562,카카오톡,2019-05-06 00:31:40.513,2019-05-06 00:32:16.075,0.5927
126,1557102736075,21,카카오톡,2019-05-06 00:32:16.075,2019-05-06 00:32:16.096,0.00035
127,1557102736096,478,카카오톡,2019-05-06 00:32:16.096,2019-05-06 00:32:16.574,0.007966666666666667
128,1557102736589,1461,Samsung Experience 홈,2019-05-06 00:32:16.589,2019-05-06 00:32:18.050,0.02435
129,1557102738089,57008,YouTube,2019-05-06 00:32:18.089,2019-05-06 00:33:15.097,0.9501333333333334
130,1557102795113,1428,Samsung Experience 홈,2019-05-06 00:33:15.113,2019-05-06 00:33:16.541,0.0238
131,1557102796580,32,AfreecaTV,2019-05-06 00:33:16.580,2019-05-06 00:33:16.612,0.0005333333333333334
132,1557102796612,11,AfreecaTV,2019-05-06 00:33:16.612,2019-05-06 00:33:16.623,0.00018333333333333334
133,1557102796623,15356,AfreecaTV,2019-05-06 00:33:16.623,2019-05-06 00:33:31.979,0.25593333333333335
134,1557102811979,31,AfreecaTV,2019-05-06 00:33:31.979,2019-05-06 00:33:32.010,0.0005166666666666667
135,1557102812010,36580,AfreecaTV,2019-05-06 00:33:32.010,2019-05-06 00:34:08.590,0.6096666666666667
136,1557102848622,27,카카오톡,2019-05-06 00:34:08.622,2019-05-06 00:34:08.649,0.00045
137,1557102848649,20,카카오톡,2019-05-06 00:34:08.649,2019-05-06 00:34:08.669,0.0003333333333333333
138,1557102848669,51895,카카오톡,2019-05-06 00:34:08.669,2019-05-06 00:35:00.564,0.8649166666666667
139,1557102900564,23,카카오톡,2019-05-06 00:35:00.564,2019-05-06 00:35:00.587,0.00038333333333333334
140,1557102900587,1082,카카오톡,2019-05-06 00:35:00.587,2019-05-06 00:35:01.669,0.018033333333333332
141,1557102901683,833,Samsung Experience 홈,2019-05-06 00:35:01.683,2019-05-06 00:35:02.516,0.013883333333333333
142,1557102902565,768928,AfreecaTV,2019-05-06 00:35:02.565,2019-05-06 00:47:51.493,12.815466666666667
143,1557103671539,30,카카오톡,2019-05-06 00:47:51.539,2019-05-06 00:47:51.569,0.0005
144,1557103671569,21,카카오톡,2019-05-06 00:47:51.569,2019-05-06 00:47:51.590,0.00035
145,1557103671590,51090,카카오톡,2019-05-06 00:47:51.590,2019-05-06 00:48:42.680,0.8515
146,1557103722680,18,카카오톡,2019-05-06 00:48:42.680,2019-05-06 00:48:42.698,0.0003
147,1557103722698,208,카카오톡,2019-05-06 00:48:42.698,2019-05-06 00:48:42.906,0.0034666666666666665
148,1557103722991,709,AfreecaTV,2019-05-06 00:48:42.991,2019-05-06 00:48:43.700,0.011816666666666666
149,1557103723725,790,Samsung Experience 홈,2019-05-06 00:48:43.725,2019-05-06 00:48:44.515,0.013166666666666667
150,1557103724557,470780,AfreecaTV,2019-05-06 00:48:44.557,2019-05-06 00:56:35.337,7.846333333333333
151,1557104195372,57,카카오톡,2019-05-06 00:56:35.372,2019-05-06 00:56:35.429,0.00095
152,1557104195429,25,카카오톡,2019-05-06 00:56:35.429,2019-05-06 00:56:35.454,0.0004166666666666667
153,1557104195454,38,카카오톡,2019-05-06 00:56:35.454,2019-05-06 00:56:35.492,0.0006333333333333333
154,1557104195492,36,카카오톡,2019-05-06 00:56:35.492,2019-05-06 00:56:35.528,0.0006
